,Alpaca 7B,BERT,Baichuan 2 7B Chat,ChatGLM2 6B,ChatGPT,Claude 1,Claude 2,Claude 3,Claude 3 Opus,Claude 3.5,Claude 3.5 Sonnet,Claude 4,Claude 4.5,DALL-E 3,DeepSeek,DeepSeek R1,DeepSeek V3,Falcon 7B,Falcon 7B Instruct,GLM 4 9B Chat,GPT-2,GPT-3.5,GPT-3.5 Turbo,GPT-4,GPT-4 Turbo,GPT-4o,GPT-4o Mini,GPT-5,Gemini,Gemini 1.5,Gemini 1.5 Pro,Gemini 2,Gemini Pro,Gemma,Gemma 2,Gemma 3,Gemma 4B,Gemma 7B,Gemma 7B IT,Grok 2,Guanaco 7B,InstructBLIP,LLaVA,LLaVA 1.5,LLaVA 7B,Llama,Llama 2,Llama 2 13B,Llama 2 70B,Llama 2 7B,Llama 3,Llama 3 70B,Llama 3 8B,Llama 3.1,Llama 3.2,Llama 3.3,Llama 4,Llama 7B,Llama Guard,Llama Guard 2 8B,Llama Guard 3 8B,Mistral,Mistral 7B,Mixtral,Mixtral 8x7B,Mixtral 8x7B 8X7B,Mixtral 8x7B Instruct,PaLM 2,Phi,Qwen 2,Qwen 2.5,Qwen 3 8B,Qwen 7B,Qwen Max,Stable Diffusion,Vicuna,o1,o3,o3-mini,o4-mini
GPT-4o Mini,0.9509815,0.9503672,0.96394885,0.9491633,0.9725733,0.95374036,0.98435605,0.98540914,0.9707689,0.97476906,0.99483067,0.968029,0.9464062,0.8297589,0.97094643,0.9829125,0.9791246,0.9247473,0.93892395,0.95629096,0.9780315,0.9741951,0.99314535,0.9927094,0.9880535,0.9904357,1.0,0.9610376,0.979607,0.9877762,0.9894042,0.978986,0.9836951,0.934822,0.9801083,0.9573048,0.9058073,0.9550428,0.97348726,0.943318,0.95966417,0.8868914,0.87076974,0.8928861,0.89315236,0.9588925,0.9902479,0.9870542,0.97162396,0.9868435,0.9855088,0.9910497,0.9884461,0.9909302,0.97495335,0.9706382,0.9502229,0.9471852,0.94686615,0.9323095,0.9686205,0.9878373,0.9889567,0.94763,0.97138816,0.9090108,0.95444155,0.91532886,0.97934633,0.98074645,0.9793811,0.9258097,0.9592006,0.96658015,0.9094877,0.9888416,0.9684247,0.9643582,0.94300747,0.9382842
GPT-5,0.9235474,0.92419136,0.9359328,0.9341082,0.94235384,0.91416097,0.9506175,0.98076135,0.9354509,0.9852089,0.9613998,0.98343194,0.9816852,0.81936723,0.9864375,0.96537274,0.9581327,0.9180111,0.91440874,0.9200384,0.9527035,0.9825144,0.9612744,0.9748261,0.95724016,0.981366,0.9610376,1.0000001,0.94405323,0.9726062,0.9473312,0.98558795,0.95118785,0.94278,0.971205,0.9514325,0.91557664,0.95348233,0.9381991,0.91573817,0.9189061,0.8629277,0.8590453,0.85612065,0.87653816,0.9350728,0.95312005,0.9615396,0.9517443,0.9607989,0.96688086,0.9641433,0.97181946,0.97746927,0.9714461,0.9852487,0.97931343,0.9191444,0.9217988,0.9094307,0.95978385,0.9708573,0.9715043,0.9238229,0.9500843,0.9404499,0.9141001,0.8835747,0.9741982,0.95110565,0.9800671,0.94281644,0.9412206,0.9442388,0.8696091,0.957337,0.970932,0.9838019,0.9472375,0.977276
Gemini,0.94447476,0.93361217,0.9480312,0.9299876,0.9698935,0.93810934,0.967911,0.9626544,0.9500039,0.9605699,0.97637045,0.9459082,0.9255135,0.8500031,0.9499682,0.9603591,0.9563254,0.9178836,0.9369218,0.9430026,0.96328735,0.96135956,0.981729,0.9830037,0.9743283,0.97719115,0.979607,0.94405323,1.0,0.97592723,0.97336805,0.96018916,0.9708001,0.9141168,0.96579,0.93623996,0.9088747,0.94354093,0.9590837,0.91746396,0.9578462,0.9120249,0.9002143,0.89570785,0.91178244,0.95440286,0.9801424,0.9737056,0.95929664,0.9750317,0.9739854,0.9726877,0.9750825,0.97290534,0.96470463,0.9556597,0.9338927,0.9384049,0.94058067,0.91863513,0.954731,0.97578466,0.9775338,0.93176115,0.951661,0.8910103,0.94497305,0.9016188,0.96625847,0.9699853,0.96726966,0.9008939,0.94472045,0.9497734,0.9185617,0.98011583,0.9439816,0.94070625,0.9126255,0.91379344
Gemini 1.5,0.9406102,0.9451353,0.9529345,0.9440083,0.9679258,0.94683325,0.9783176,0.984503,0.95982975,0.9844189,0.98523897,0.9733014,0.9597108,0.83733195,0.9793371,0.9782379,0.9722297,0.92251444,0.9343046,0.94678724,0.972579,0.9826366,0.98542327,0.99173325,0.9799533,0.9926399,0.9877762,0.9726062,0.97592723,0.9999997,0.9805465,0.9859927,0.9778561,0.94202405,0.9783414,0.9566026,0.92204404,0.9541002,0.96344525,0.9363769,0.948464,0.9018344,0.8895266,0.8939658,0.90983456,0.9532165,0.9828397,0.9790336,0.9630727,0.9807905,0.9832261,0.9808486,0.98500186,0.9875636,0.97739387,0.9781332,0.9633458,0.9373769,0.9360567,0.9165231,0.9611152,0.9831747,0.98572576,0.9415914,0.9583447,0.9278835,0.9451769,0.9080405,0.9789949,0.9801573,0.9845153,0.9274558,0.95501447,0.95755845,0.9129583,0.98251563,0.970136,0.970417,0.9435055,0.9508659
Gemini 1.5 Pro,0.937733,0.93534696,0.95276046,0.94303966,0.9656649,0.9480378,0.9807831,0.97918755,0.97584546,0.96184444,0.99057764,0.9549128,0.93481064,0.81664884,0.95803994,0.9717089,0.96545684,0.9102523,0.9338295,0.9489156,0.97262925,0.9591741,0.9857465,0.9840526,0.9849078,0.9799314,0.9894042,0.9473312,0.97336805,0.9805465,0.99999964,0.96795046,0.98023814,0.92126065,0.964557,0.9460673,0.8927335,0.93712556,0.96784806,0.9350773,0.95258844,0.88167304,0.8619302,0.8953358,0.8849203,0.9503887,0.98435175,0.97344965,0.95607233,0.9747248,0.9746638,0.981602,0.97608894,0.97852707,0.96202105,0.9558362,0.93371314,0.93581444,0.9283534,0.91686976,0.9586341,0.97897375,0.9767159,0.9431931,0.9629181,0.88777405,0.9509319,0.909243,0.96348554,0.9703395,0.9639907,0.9026576,0.94609284,0.96645546,0.9094478,0.9788094,0.962815,0.9504287,0.93876743,0.9275573
Gemini 2,0.92961156,0.9452035,0.9477737,0.94200516,0.9528208,0.93082273,0.9658085,0.9886478,0.9440794,0.9932896,0.97678006,0.9854018,0.9773131,0.8468641,0.9910909,0.9792103,0.97783643,0.9215033,0.9204389,0.93682903,0.96137017,0.9846247,0.9743843,0.98756987,0.9680228,0.99355793,0.978986,0.98558795,0.96018916,0.9859927,0.96795046,1.0000008,0.96559376,0.9419856,0.9765433,0.9636224,0.9214595,0.95718116,0.948203,0.9351704,0.92705536,0.89771694,0.8897562,0.8962384,0.9075542,0.9499041,0.9715969,0.97220856,0.95635426,0.9702345,0.97694284,0.9759894,0.97998124,0.985499,0.9776611,0.98565173,0.9789969,0.9310951,0.93975407,0.9206763,0.9650444,0.979361,0.9807654,0.93102735,0.95634085,0.9309852,0.9268445,0.90769553,0.9800165,0.9719935,0.98946416,0.9463537,0.95304036,0.9563986,0.9068658,0.9708487,0.9787461,0.9876396,0.9556449,0.97527677
Gemini Pro,0.93784815,0.93578815,0.96079755,0.942898,0.9661901,0.9562738,0.98076195,0.97671103,0.96085095,0.9642693,0.9849251,0.9585257,0.9351509,0.8058311,0.9605679,0.97262317,0.9641324,0.91801584,0.9433139,0.9506526,0.9737609,0.9684203,0.9874401,0.98460346,0.98397195,0.9796729,0.9836951,0.95118785,0.9708001,0.9778561,0.98023814,0.96559376,1.000001,0.92238,0.9689212,0.949489,0.89706326,0.9448157,0.9674607,0.932938,0.96027416,0.8770842,0.86221033,0.87590355,0.880245,0.95358926,0.98237103,0.97822034,0.9640115,0.97984165,0.9779927,0.98136747,0.9799813,0.97944504,0.9614508,0.9602431,0.94215226,0.93776315,0.93340445,0.9225667,0.9605224,0.97808814,0.9791834,0.9485857,0.96072185,0.89694774,0.9585429,0.8995627,0.96492594,0.9655547,0.96534175,0.9016253,0.9479478,0.9544035,0.8849103,0.98389095,0.9588274,0.9498418,0.92822474,0.9274112
Gemma,0.90916497,0.88157547,0.9040288,0.8954763,0.9304216,0.8902855,0.9208151,0.9401476,0.9149476,0.9413031,0.93206334,0.9327683,0.93265563,0.7833436,0.9475723,0.94069976,0.92180264,0.9126785,0.89499533,0.8977178,0.92876047,0.9560343,0.9355337,0.9447198,0.93125325,0.9472848,0.934822,0.94278,0.9141168,0.94202405,0.92126065,0.9419856,0.92238,0.99999946,0.9562111,0.9037629,0.893146,0.94066626,0.9252618,0.86774075,0.90232706,0.84050566,0.83422005,0.84372026,0.8585508,0.89594847,0.93614984,0.9468175,0.9352436,0.94835496,0.9425513,0.9357546,0.9555364,0.9526829,0.9605978,0.94310033,0.9429728,0.9195685,0.88326323,0.85491836,0.91934645,0.938496,0.9508239,0.9014565,0.91546303,0.9047105,0.89178115,0.8364772,0.9569293,0.9439426,0.95857984,0.8870637,0.9209853,0.9092392,0.83856773,0.9372185,0.9314542,0.93308544,0.90380436,0.9077831
Gemma 2,0.94882196,0.93337446,0.95559996,0.9378129,0.96649694,0.94254416,0.9708716,0.9794424,0.95000756,0.977849,0.97729117,0.97201496,0.9550437,0.81669384,0.9798468,0.9801609,0.96838117,0.953321,0.9493011,0.94930506,0.9696478,0.9866216,0.98277384,0.9858557,0.97702134,0.9866481,0.9801083,0.971205,0.96579,0.9783414,0.964557,0.9765433,0.9689212,0.9562111,1.0000004,0.95298946,0.92046016,0.9801818,0.96874654,0.9268611,0.95382154,0.87476563,0.8687857,0.8645028,0.8907604,0.9484555,0.97800785,0.9887064,0.98102987,0.9903908,0.9866937,0.98200864,0.99245095,0.99283326,0.98875654,0.98098266,0.96454954,0.9524452,0.9485499,0.9222779,0.97108644,0.9830439,0.99310195,0.94782585,0.96285254,0.91966426,0.94445115,0.8838735,0.99049324,0.97718817,0.9909515,0.9263643,0.9604073,0.9504172,0.877857,0.9858005,0.96476024,0.9674767,0.93287337,0.94303226
Gemma 3,0.90754396,0.92679524,0.93750226,0.92073756,0.9217656,0.9224833,0.9472239,0.9615201,0.92085344,0.9563232,0.9568318,0.9578827,0.9311241,0.8296982,0.95457655,0.9661917,0.96456873,0.88778496,0.9062258,0.9238662,0.9437024,0.9551403,0.9555802,0.9617796,0.94620085,0.96232444,0.9573048,0.9514325,0.93623996,0.9566026,0.9460673,0.9636224,0.949489,0.9037629,0.95298946,1.0,0.8589351,0.9310427,0.92668974,0.9225514,0.913477,0.8524599,0.8396328,0.8529879,0.8577845,0.9232624,0.9481132,0.9509817,0.94231945,0.9491679,0.9513292,0.95555073,0.95377505,0.9593397,0.93998915,0.9539015,0.9402131,0.90467393,0.9191294,0.90529054,0.94349205,0.95305413,0.9552106,0.8982175,0.9407847,0.9043945,0.9118136,0.90069914,0.9528222,0.937277,0.9553944,0.9475193,0.92385185,0.937941,0.8701174,0.9497104,0.9478051,0.954271,0.92854565,0.9369632
Gemma 4B,0.88054997,0.847035,0.87300193,0.86938965,0.9021884,0.85123795,0.89072764,0.903513,0.8734433,0.9261509,0.8973797,0.902657,0.9164427,0.77200985,0.9135509,0.8951145,0.8841311,0.897391,0.87462956,0.8535087,0.8988897,0.9183889,0.9031657,0.91761774,0.89654076,0.92295,0.9058073,0.91557664,0.9088747,0.92204404,0.8927335,0.9214595,0.89706326,0.893146,0.92046016,0.8589351,1.0000015,0.908997,0.89257634,0.8483198,0.87248445,0.89219296,0.8917562,0.84734905,0.9242122,0.88224417,0.90995806,0.90975404,0.88981676,0.91110945,0.9120679,0.9000755,0.9187355,0.91791505,0.92978495,0.9211501,0.90966094,0.88929963,0.86871517,0.8335182,0.8898255,0.91034496,0.92266375,0.87077653,0.8763998,0.862904,0.8728037,0.79464924,0.92086166,0.9123213,0.93364763,0.8464551,0.8996408,0.8738108,0.84893596,0.91249716,0.8862287,0.89883953,0.85383505,0.88240355
Gemma 7B,0.93270147,0.9155773,0.93674034,0.9129393,0.9488409,0.9169085,0.9470908,0.95702523,0.9238291,0.9613466,0.9507268,0.95369303,0.9436514,0.80682087,0.9628881,0.95963764,0.94779104,0.9481817,0.9382821,0.9188272,0.9516315,0.97224694,0.9600229,0.9659864,0.9517519,0.96698004,0.9550428,0.95348233,0.94354093,0.9541002,0.93712556,0.95718116,0.9448157,0.94066626,0.9801818,0.9310427,0.908997,1.0000001,0.94824326,0.9001336,0.93735665,0.8661366,0.8654066,0.8488715,0.88495547,0.9269536,0.95762545,0.9711693,0.9650126,0.9739047,0.96988153,0.9578347,0.9759588,0.97253335,0.97221345,0.9631792,0.9506257,0.9465808,0.93144476,0.90133005,0.95572925,0.96057755,0.9789212,0.92343885,0.9400494,0.90261555,0.92471564,0.85551965,0.9763248,0.96293944,0.9761208,0.9077097,0.94538254,0.9237414,0.8625668,0.9675387,0.94253695,0.9476585,0.9129981,0.92392975
Gemma 7B IT,0.9427977,0.9137614,0.9465259,0.9237476,0.9623332,0.9542089,0.9728465,0.9658365,0.9633714,0.94778705,0.976889,0.946508,0.92470807,0.78446585,0.9503731,0.9678598,0.9529267,0.93012303,0.9418226,0.94173515,0.96572274,0.9591683,0.981304,0.974178,0.9784776,0.96791214,0.97348726,0.9381991,0.9590837,0.96344525,0.96784806,0.948203,0.9674607,0.9252618,0.96874654,0.92668974,0.89257634,0.94824326,0.9999988,0.93297213,0.9689654,0.8499992,0.83452976,0.8597218,0.8581298,0.93389904,0.9778642,0.9788107,0.96952343,0.98191386,0.972172,0.9777295,0.9797896,0.9764542,0.9611566,0.9488216,0.9326443,0.9361127,0.93140763,0.9192722,0.95732594,0.97824526,0.9762982,0.9464448,0.95238715,0.876901,0.96071607,0.8714087,0.96149874,0.96374404,0.9596383,0.87407434,0.9448203,0.9505838,0.8705581,0.9823045,0.94747525,0.9339179,0.92753667,0.9129597
Grok 2,0.8790857,0.8956873,0.92059535,0.90174747,0.9109276,0.9356373,0.9445539,0.94471866,0.9204705,0.92702234,0.95132554,0.94000465,0.9094841,0.7894918,0.9330022,0.94673824,0.94637084,0.85405934,0.8905191,0.9071968,0.9276707,0.9261061,0.9448504,0.9431869,0.93996066,0.94178516,0.943318,0.91573817,0.91746396,0.9363769,0.9350773,0.9351704,0.932938,0.86774075,0.9268611,0.9225514,0.8483198,0.9001336,0.93297213,1.0000005,0.9148895,0.8153573,0.79646957,0.8376534,0.8229258,0.8923765,0.9402868,0.930516,0.9221632,0.9314665,0.93594706,0.94529134,0.9353497,0.9403845,0.91445976,0.92664576,0.91007805,0.8720374,0.918898,0.89826113,0.9369769,0.9456579,0.9332274,0.9071404,0.92161083,0.8645372,0.9255547,0.8683915,0.9191927,0.92024046,0.9259627,0.87567186,0.9121203,0.92994136,0.8612714,0.9353604,0.9396992,0.9244893,0.9332041,0.9118651
Guanaco 7B,0.9297505,0.90389,0.9398042,0.9048178,0.95251703,0.9521266,0.9615962,0.9478297,0.94473433,0.93068635,0.9625306,0.9284438,0.897919,0.78516865,0.93199784,0.9538534,0.9418365,0.9161202,0.9479496,0.9382794,0.9502845,0.9450101,0.97361785,0.9625067,0.96846974,0.9537875,0.95966417,0.9189061,0.9578462,0.948464,0.95258844,0.92705536,0.96027416,0.90232706,0.95382154,0.913477,0.87248445,0.93735665,0.9689654,0.9148895,0.9999996,0.84668463,0.8305346,0.8489905,0.84912795,0.92591834,0.9682976,0.9672076,0.95940655,0.9749791,0.96402246,0.9625162,0.96658635,0.96141845,0.94523937,0.93362075,0.91194946,0.91770065,0.92911404,0.9278895,0.9427031,0.96624506,0.96534735,0.93164855,0.94104564,0.85245407,0.95532393,0.84972084,0.94498193,0.9487613,0.94394875,0.86030185,0.92995536,0.9335239,0.8616077,0.97887534,0.9280937,0.9128182,0.90736914,0.8873528
InstructBLIP,0.8406893,0.8575485,0.84567994,0.8268555,0.86504924,0.82310265,0.8579017,0.86750966,0.8400456,0.9027186,0.873819,0.8645726,0.85286605,0.84871656,0.8718524,0.8669456,0.87240183,0.8534097,0.844502,0.8430814,0.8525549,0.8779327,0.8748809,0.90214956,0.8649457,0.9014394,0.8868914,0.8629277,0.9120249,0.9018344,0.88167304,0.89771694,0.8770842,0.84050566,0.87476563,0.8524599,0.89219296,0.8661366,0.8499992,0.8153573,0.84668463,0.99999964,0.98610026,0.9228941,0.9700273,0.8773597,0.8932095,0.88002884,0.8511997,0.8763883,0.8771261,0.8649691,0.8848781,0.87877804,0.8982972,0.86654013,0.8654982,0.8512183,0.8478505,0.81714606,0.85974574,0.8791003,0.8905992,0.82269293,0.8472145,0.809708,0.82993764,0.80295944,0.88094443,0.90217453,0.90407926,0.8253432,0.87122846,0.85902756,0.9308889,0.89171946,0.8509477,0.86340487,0.822111,0.83684903
LLaVA,0.8363755,0.84801805,0.8291681,0.8155252,0.8570905,0.8034251,0.84099734,0.8571179,0.821373,0.8993149,0.85619134,0.8539256,0.8491138,0.8406145,0.8650737,0.85291034,0.8598631,0.8544916,0.8364131,0.82292515,0.8386741,0.8724873,0.86000293,0.8895557,0.84759027,0.8912327,0.87076974,0.8590453,0.9002143,0.8895266,0.8619302,0.8897562,0.86221033,0.83422005,0.8687857,0.8396328,0.8917562,0.8654066,0.83452976,0.79646957,0.8305346,0.98610026,0.9999998,0.89261436,0.9671713,0.8686834,0.8764743,0.8699747,0.8400022,0.8659604,0.8660915,0.8495162,0.87569904,0.8673662,0.8942678,0.86263275,0.8617489,0.84724313,0.8415752,0.8049095,0.84979177,0.8645751,0.8813501,0.80946547,0.8352145,0.8101363,0.8106615,0.79098237,0.8757379,0.89200586,0.9004598,0.8182057,0.8619035,0.8435725,0.90638053,0.87949836,0.84226155,0.85780454,0.81144196,0.8328915
LLaVA 1.5,0.8323311,0.8658088,0.85492456,0.8257753,0.86634535,0.8463268,0.8750912,0.8736464,0.8457421,0.88861996,0.8815068,0.8652097,0.85669374,0.8472021,0.8705607,0.8737277,0.8814902,0.83290607,0.8402749,0.8450141,0.8609246,0.87027174,0.88500273,0.90368223,0.8702985,0.8993228,0.8928861,0.85612065,0.89570785,0.8939658,0.8953358,0.8962384,0.87590355,0.84372026,0.8645028,0.8529879,0.84734905,0.8488715,0.8597218,0.8376534,0.8489905,0.9228941,0.89261436,1.0000007,0.89807093,0.8899173,0.91020125,0.8773387,0.8548654,0.8758394,0.8786729,0.87375164,0.8850032,0.87713355,0.8765989,0.8607175,0.8634135,0.84637153,0.8575698,0.85091907,0.8631581,0.88536745,0.8848445,0.8267247,0.8322399,0.7781373,0.8377474,0.8475746,0.87404245,0.8940884,0.8903203,0.818017,0.86662245,0.87438595,0.9167034,0.88897365,0.85201335,0.8579221,0.84207195,0.83964103
LLaVA 7B,0.8539273,0.86087906,0.85095596,0.83747303,0.87563497,0.82689893,0.8649861,0.8785821,0.84573895,0.9095608,0.87938315,0.8748667,0.867082,0.83334416,0.88555783,0.8779467,0.8817848,0.87327373,0.8496351,0.84308344,0.86350155,0.88924557,0.8799884,0.90571225,0.87058747,0.90999377,0.89315236,0.87653816,0.91178244,0.90983456,0.8849203,0.9075542,0.880245,0.8585508,0.8907604,0.8577845,0.9242122,0.88495547,0.8581298,0.8229258,0.84912795,0.9700273,0.9671713,0.89807093,0.9999998,0.8763903,0.89785933,0.88644433,0.85573655,0.88484156,0.8899972,0.8728295,0.8946581,0.88980037,0.91352785,0.8812092,0.8777577,0.865828,0.85902673,0.8176357,0.8635591,0.88330257,0.90062624,0.8339825,0.8544932,0.83543324,0.8360794,0.7998588,0.89701426,0.9129105,0.9183958,0.83586675,0.8900065,0.8570244,0.92665434,0.8965321,0.86260307,0.878025,0.82527566,0.84444296
Llama,0.9214774,0.94941187,0.92651534,0.91509444,0.94500047,0.9127952,0.9501174,0.9522529,0.9221416,0.95129603,0.9548043,0.9328077,0.91736674,0.82523763,0.94126165,0.9461176,0.9491716,0.9028356,0.92447937,0.9230192,0.94602305,0.945985,0.9613492,0.9646618,0.95210224,0.96013975,0.9588925,0.9350728,0.95440286,0.9532165,0.9503887,0.9499041,0.95358926,0.89594847,0.9484555,0.9232624,0.88224417,0.9269536,0.93389904,0.8923765,0.92591834,0.8773597,0.8686834,0.8899173,0.8763903,0.99999994,0.9564654,0.9551795,0.939044,0.95545316,0.9515378,0.9548598,0.9589033,0.9552733,0.9439272,0.9403696,0.92987466,0.91831166,0.92790157,0.9253375,0.94056386,0.9542415,0.9578633,0.9319917,0.92438203,0.8704607,0.91916853,0.9147512,0.9519448,0.94563925,0.94967145,0.890962,0.93838197,0.93328106,0.88111985,0.9614568,0.9316707,0.93468213,0.9129412,0.9150535
Llama 2,0.94548106,0.94012773,0.9605738,0.9386586,0.9747027,0.96031266,0.9845107,0.97846925,0.96558124,0.9688769,0.9874336,0.96065104,0.9427227,0.8317922,0.96506023,0.9776937,0.97090816,0.9318891,0.9490083,0.95025885,0.9763255,0.9736333,0.9927774,0.9914008,0.9847346,0.98668224,0.9902479,0.95312005,0.9801424,0.9828397,0.98435175,0.9715969,0.98237103,0.93614984,0.97800785,0.9481132,0.90995806,0.95762545,0.9778642,0.9402868,0.9682976,0.8932095,0.8764743,0.91020125,0.89785933,0.9564654,0.99999964,0.98513365,0.970371,0.988234,0.9877626,0.9847792,0.98865527,0.98612165,0.973199,0.9640985,0.9478194,0.9491921,0.94500554,0.93390715,0.96577734,0.98753583,0.9888579,0.94680417,0.9579059,0.8971097,0.9591095,0.91122675,0.97696936,0.9802645,0.97749156,0.9037749,0.9543204,0.96202356,0.9117925,0.99161714,0.9574048,0.95157313,0.9337139,0.92775106
Llama 2 13B,0.9591976,0.940115,0.9631937,0.9394587,0.9721579,0.9532028,0.97911555,0.9795363,0.95919245,0.97253466,0.98489743,0.9654534,0.94402474,0.82866174,0.9728309,0.9834298,0.97403246,0.9478434,0.9527426,0.958532,0.9767341,0.98161036,0.99181664,0.989915,0.98466325,0.9862354,0.9870542,0.9615396,0.9737056,0.9790336,0.97344965,0.97220856,0.97822034,0.9468175,0.9887064,0.9509817,0.90975404,0.9711693,0.9788107,0.930516,0.9672076,0.88002884,0.8699747,0.8773387,0.88644433,0.9551795,0.98513365,0.9999999,0.9851887,0.9962567,0.98761225,0.9877481,0.99394226,0.9923559,0.98180914,0.97243464,0.95692617,0.9565556,0.9510133,0.93404645,0.97153467,0.98574334,0.9943692,0.9519595,0.96801114,0.9021256,0.9546754,0.89371914,0.9850854,0.97910357,0.9843466,0.91739553,0.96299547,0.9580283,0.8866925,0.99388564,0.9630543,0.9595351,0.9370724,0.93528277
Llama 2 70B,0.93655664,0.9237418,0.9576497,0.9259473,0.9575635,0.946564,0.9664862,0.9661608,0.94860625,0.9581796,0.97162443,0.9562315,0.93415827,0.81730634,0.9605479,0.9700204,0.9573729,0.9319037,0.94543946,0.95011187,0.96435153,0.9701878,0.9794698,0.97685045,0.97429687,0.97203743,0.97162396,0.9517443,0.95929664,0.9630727,0.95607233,0.95635426,0.9640115,0.9352436,0.98102987,0.94231945,0.88981676,0.9650126,0.96952343,0.9221632,0.95940655,0.8511997,0.8400022,0.8548654,0.85573655,0.939044,0.970371,0.9851887,1.0000004,0.984807,0.9780707,0.9778079,0.98209804,0.98049724,0.967613,0.9613565,0.94340456,0.93939453,0.9383818,0.925889,0.96336347,0.9756327,0.9809209,0.9448622,0.95796907,0.88635564,0.9490381,0.87743896,0.97334427,0.9618585,0.97058314,0.9109814,0.9489819,0.9445072,0.8611649,0.9800235,0.9483863,0.94398665,0.9240684,0.9239433
Llama 2 7B,0.9586695,0.93739825,0.9650121,0.94263804,0.97604924,0.9602296,0.9823555,0.9790808,0.96038246,0.97155726,0.9860747,0.9650898,0.945073,0.82066137,0.9728779,0.98375005,0.9717534,0.950806,0.9633977,0.95854086,0.9804335,0.98395324,0.99397784,0.99088395,0.9867745,0.9868685,0.9868435,0.9607989,0.9750317,0.9807905,0.9747248,0.9702345,0.97984165,0.94835496,0.9903908,0.9491679,0.91110945,0.9739047,0.98191386,0.9314665,0.9749791,0.8763883,0.8659604,0.8758394,0.88484156,0.95545316,0.988234,0.9962567,0.984807,1.0,0.99110115,0.98780835,0.9960461,0.99302447,0.9819985,0.9723459,0.9561244,0.95764035,0.9511193,0.9347502,0.9707425,0.9873059,0.9959808,0.9568688,0.9676152,0.9043681,0.96168905,0.8884522,0.98529994,0.97976416,0.9843207,0.91372216,0.963373,0.9560607,0.8846075,0.99717945,0.9632306,0.95678544,0.9343052,0.93347895
Llama 3,0.9495073,0.94095516,0.9626611,0.9472865,0.9743433,0.9578396,0.98119324,0.98218304,0.9583498,0.97482514,0.98442495,0.970437,0.9544652,0.8237489,0.97730845,0.981925,0.97300965,0.9407349,0.9510604,0.9508225,0.97971666,0.98502964,0.99082315,0.9909092,0.98333627,0.9900055,0.9855088,0.96688086,0.9739854,0.9832261,0.9746638,0.97694284,0.9779927,0.9425513,0.9866937,0.9513292,0.9120679,0.96988153,0.972172,0.93594706,0.96402246,0.8771261,0.8660915,0.8786729,0.8899972,0.9515378,0.9877626,0.98761225,0.9780707,0.99110115,0.9999994,0.9857305,0.9917251,0.99150026,0.9804658,0.97726536,0.96128154,0.94999856,0.94733024,0.9312594,0.9693349,0.9869959,0.99306417,0.9488267,0.9673442,0.91726524,0.95874,0.8950538,0.9844902,0.9814093,0.9855207,0.9229793,0.96110666,0.95501274,0.89182925,0.9894824,0.96754855,0.96262157,0.9348133,0.9421435
Llama 3 70B,0.9488226,0.94406205,0.9653666,0.95164984,0.969606,0.95818114,0.9836942,0.9849015,0.96621823,0.9723718,0.9922802,0.96991664,0.94978464,0.81536,0.9743241,0.9844329,0.97802424,0.9287015,0.94261485,0.95908093,0.98002845,0.9771705,0.99224144,0.9901511,0.98833334,0.9880915,0.9910497,0.9641433,0.9726877,0.9808486,0.981602,0.9759894,0.98136747,0.9357546,0.98200864,0.95555073,0.9000755,0.9578347,0.9777295,0.94529134,0.9625162,0.8649691,0.8495162,0.87375164,0.8728295,0.9548598,0.9847792,0.9877481,0.9778079,0.98780835,0.9857305,1.0000001,0.9896532,0.99161774,0.97522753,0.9737922,0.95310193,0.9456852,0.94818985,0.9342899,0.9723426,0.9882911,0.988333,0.9545572,0.9723754,0.9052303,0.9575674,0.90933216,0.9791353,0.9742627,0.97780466,0.92208415,0.9569167,0.9649981,0.88700855,0.9876872,0.97280246,0.9640117,0.94505835,0.942813
Llama 3 8B,0.9575149,0.94270796,0.96205443,0.94444346,0.9736043,0.95424956,0.9809847,0.98485655,0.96103215,0.9804523,0.98715746,0.9730545,0.95647913,0.8292992,0.98152184,0.9851977,0.97456115,0.9508117,0.95507663,0.9566964,0.9782569,0.98902893,0.9922045,0.9940912,0.98518693,0.99271923,0.9884461,0.97181946,0.9750825,0.98500186,0.97608894,0.97998124,0.9799813,0.9555364,0.99245095,0.95377505,0.9187355,0.9759588,0.9797896,0.9353497,0.96658635,0.8848781,0.87569904,0.8850032,0.8946581,0.9589033,0.98865527,0.99394226,0.98209804,0.9960461,0.9917251,0.9896532,0.9999998,0.9953335,0.9879113,0.98054355,0.9663747,0.95685023,0.95089877,0.9310471,0.97369665,0.9891863,0.9969987,0.9553884,0.96723175,0.91671497,0.9563465,0.8941328,0.9897888,0.9842317,0.99095404,0.92287546,0.96419007,0.9602129,0.8955739,0.9940788,0.9714025,0.9680839,0.9429786,0.9466229
